Wavelength_nm,2026_02_18_BluGlass_Lot2GainChip_GC1_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC2_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC3_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC4_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC5_T=20C__I=100mA.txt
383.96,0.024963,0.086246,0.043258,0.030186,0.033603
383.99,0.029355,0.1078,0.045329,0.034906,0.03669
384.02,0.028787,0.10489,0.050466,0.036057,0.03798
384.05,0.027996,0.083851,0.043991,0.035252,0.0377
384.08,0.023587,0.084193,0.041316,0.031164,0.032257
384.11,0.028719,0.10045,0.047142,0.038187,0.038093
384.14,0.024241,0.08693,0.041013,0.032143,0.032313
384.17,0.027985,0.095313,0.044941,0.035597,0.036016
384.2,0.024631,0.085904,0.041618,0.034273,0.037419
384.23,0.027067,0.08847,0.044078,0.034273,0.031583
384.26,0.022354,0.08693,0.03864,0.032373,0.031134
384.29,0.029791,0.10181,0.044984,0.038015,0.037419
384.31,0.022681,0.078547,0.039071,0.032834,0.030068
384.34,0.02838,0.099248,0.04684,0.034561,0.036297
384.37,0.02443,0.087786,0.04192,0.03387,0.034389
384.4,0.027893,0.10216,0.046538,0.039166,0.037531
384.43,0.024155,0.082824,0.047315,0.033697,0.032481
384.46,0.028025,0.084877,0.045114,0.034331,0.035736
384.49,0.023713,0.083338,0.041402,0.032431,0.029339
384.52,0.029063,0.10592,0.046797,0.035424,0.036016
384.55,0.023507,0.078889,0.039287,0.029783,0.028048
384.58,0.029951,0.10695,0.046926,0.037036,0.039215
384.61,0.025003,0.085733,0.043128,0.032431,0.032425
384.63,0.030318,0.095827,0.046365,0.036173,0.034614
384.66,0.032767,0.1297,0.060652,0.045498,0.044209
384.69,0.028954,0.090181,0.043689,0.036921,0.036409
384.72,0.024671,0.088812,0.044121,0.031222,0.03495
384.75,0.029269,0.10524,0.046106,0.036863,0.037251
384.78,0.025823,0.094287,0.046797,0.030819,0.035792
384.81,0.030628,0.10267,0.047358,0.037439,0.040562
384.84,0.023128,0.090352,0.044078,0.031855,0.033098
384.87,0.029722,0.10746,0.052063,0.037094,0.035287
384.89,0.026987,0.092405,0.0452,0.033697,0.035848
384.92,0.035794,0.13004,0.062982,0.045268,0.047464
384.95,0.027669,0.097709,0.048567,0.033409,0.036634
384.98,0.032749,0.11721,0.054177,0.042562,0.042301
385.01,0.027463,0.095656,0.048005,0.038072,0.034782
385.04,0.032543,0.11071,0.049991,0.043944,0.041908
385.07,0.02611,0.087101,0.042826,0.034791,0.030405
385.1,0.03307,0.11841,0.049861,0.04521,0.043872
385.13,0.026809,0.09155,0.047833,0.036979,0.033884
385.16,0.034074,0.1167,0.058752,0.041641,0.044826
385.19,0.026012,0.091721,0.044639,0.037094,0.036072
385.21,0.03115,0.11003,0.051847,0.037382,0.040281
385.24,0.027308,0.094971,0.047919,0.03577,0.036465
385.27,0.031138,0.12115,0.051329,0.041469,0.042582
385.3,0.026247,0.087272,0.044855,0.033179,0.035736
385.33,0.031843,0.10797,0.050336,0.041181,0.04
385.36,0.030307,0.10096,0.05012,0.037957,0.04174
385.39,0.032709,0.11157,0.051286,0.042332,0.04477
385.42,0.028753,0.096682,0.048912,0.037957,0.039776
385.45,0.034492,0.12491,0.057069,0.045671,0.044321
385.48,0.028828,0.098222,0.050595,0.037094,0.039495
385.5,0.033007,0.11875,0.053314,0.040663,0.04449
385.53,0.026798,0.089154,0.048308,0.036518,0.036914
385.56,0.037852,0.13774,0.061256,0.053558,0.052626
385.59,0.030978,0.10164,0.048092,0.038993,0.038036
385.62,0.033839,0.12252,0.054954,0.045786,0.045051
385.65,0.028678,0.094116,0.047401,0.039742,0.036578
385.68,0.035588,0.12542,0.058623,0.045729,0.049147
385.71,0.028914,0.10353,0.05189,0.036979,0.039159
385.74,0.034762,0.11601,0.054652,0.046362,0.048249
385.76,0.033936,0.11037,0.055731,0.041469,0.045387
385.79,0.036201,0.12423,0.055774,0.046419,0.042582
385.82,0.029103,0.095998,0.049387,0.037094,0.038766
385.85,0.034275,0.11927,0.055256,0.042965,0.04174
385.88,0.033948,0.12252,0.060522,0.045326,0.0455
385.91,0.038076,0.12337,0.060177,0.046132,0.048137
385.94,0.029447,0.10199,0.04848,0.038015,0.038205
385.97,0.03541,0.12063,0.056681,0.046937,0.046734
386,0.031866,0.10524,0.051501,0.0379,0.041347
386.03,0.033208,0.12098,0.051717,0.040893,0.043816
386.06,0.028701,0.097024,0.0493,0.036,0.038036
386.08,0.0349,0.11995,0.052753,0.045326,0.046454
386.11,0.029665,0.10387,0.049775,0.03813,0.038598
386.14,0.035679,0.12012,0.054523,0.043311,0.046566
386.17,0.031115,0.10643,0.050077,0.037669,0.038036
386.2,0.033661,0.11533,0.053444,0.042793,0.044658
386.23,0.029258,0.10763,0.048005,0.040202,0.04
386.26,0.040025,0.14168,0.065572,0.054133,0.055151
386.29,0.031677,0.10438,0.053185,0.038303,0.041291
386.31,0.03537,0.11122,0.052019,0.046189,0.048474
386.34,0.02885,0.1013,0.048264,0.038245,0.039888
386.37,0.034687,0.1179,0.051156,0.04711,0.043423
386.4,0.027377,0.10421,0.049905,0.036345,0.041459
386.43,0.034848,0.12354,0.053142,0.042678,0.046173
386.46,0.028828,0.1037,0.050552,0.036863,0.036858
386.49,0.034206,0.12748,0.053789,0.043253,0.041011
386.52,0.028977,0.099762,0.045545,0.037554,0.039608
386.55,0.035995,0.122,0.057112,0.045383,0.045051
386.57,0.029464,0.10404,0.046883,0.035885,0.038542
386.6,0.035811,0.11909,0.053098,0.043599,0.042862
386.63,0.030697,0.10113,0.049128,0.040663,0.04
386.66,0.03639,0.11807,0.053012,0.046247,0.04679
386.69,0.032124,0.10729,0.053789,0.044635,0.038878
386.72,0.033953,0.12098,0.053789,0.043541,0.046622
386.75,0.030783,0.11516,0.053789,0.040145,0.038317
386.78,0.035593,0.11773,0.051286,0.04285,0.046117
386.81,0.029223,0.09959,0.048825,0.036863,0.036578
386.83,0.034951,0.11978,0.056551,0.045844,0.044546
386.86,0.029464,0.10233,0.051545,0.038648,0.037531
386.89,0.036184,0.11413,0.052235,0.044635,0.047969
386.92,0.032618,0.10832,0.054523,0.043253,0.041628
386.95,0.033799,0.11875,0.054221,0.041987,0.041684
386.98,0.028128,0.097366,0.047315,0.037612,0.039832
387.01,0.036453,0.1256,0.053875,0.045959,0.046678
387.04,0.035049,0.12423,0.059055,0.046995,0.045612
387.07,0.035519,0.11345,0.055947,0.04285,0.041628
387.1,0.029762,0.095484,0.046754,0.039339,0.038205
387.12,0.035238,0.11858,0.049171,0.042908,0.047464
387.15,0.030129,0.10883,0.04684,0.039627,0.039215
387.18,0.035198,0.13107,0.052537,0.044059,0.045556
387.21,0.030754,0.1013,0.048567,0.037612,0.040505
387.24,0.035897,0.12354,0.056292,0.045613,0.046229
387.27,0.031929,0.1025,0.051976,0.039108,0.041291
387.3,0.033982,0.11208,0.050207,0.041526,0.041908
387.33,0.029711,0.10164,0.04943,0.038878,0.040562
387.36,0.036677,0.12406,0.053401,0.044865,0.044209
387.38,0.031368,0.11191,0.047617,0.040951,0.042582
387.41,0.035708,0.12354,0.051242,0.04688,0.04449
387.44,0.053058,0.19369,0.099798,0.071691,0.077934
387.47,0.03502,0.10678,0.052192,0.045613,0.046622
387.5,0.030055,0.10318,0.049516,0.03813,0.040449
387.53,0.039211,0.12457,0.060263,0.04711,0.048081
387.56,0.03119,0.10678,0.051458,0.042044,0.041403
387.58,0.035576,0.12816,0.053832,0.045326,0.046454
387.61,0.031534,0.11482,0.052451,0.037957,0.041235
387.64,0.040857,0.14133,0.065701,0.056206,0.052963
387.67,0.029292,0.10832,0.049948,0.040778,0.042862
387.7,0.037887,0.11892,0.053746,0.048146,0.045668
387.73,0.032394,0.10832,0.051199,0.040317,0.040337
387.76,0.035696,0.12012,0.053962,0.046765,0.046959
387.79,0.032331,0.10849,0.051286,0.038533,0.041011
387.82,0.037675,0.13021,0.055386,0.046016,0.049989
387.85,0.036425,0.12936,0.061256,0.048895,0.05083
387.87,0.037422,0.12782,0.054911,0.048204,0.046959
387.9,0.030599,0.096511,0.05094,0.043023,0.043423
387.93,0.034802,0.11465,0.051242,0.04521,0.048642
387.96,0.031477,0.109,0.050422,0.042275,0.042469
387.99,0.0385,0.13261,0.058882,0.048204,0.050606
388.02,0.031069,0.1143,0.051329,0.041872,0.04477
388.05,0.037147,0.11927,0.053142,0.046765,0.044658
388.07,0.028977,0.10541,0.047142,0.039799,0.038766
388.1,0.037394,0.11961,0.053314,0.047801,0.047015
388.13,0.031563,0.10883,0.049948,0.043138,0.037588
388.16,0.041763,0.14185,0.06445,0.049413,0.052626
388.19,0.036803,0.13158,0.061472,0.045786,0.048418
388.22,0.035054,0.12029,0.053401,0.043771,0.041011
388.25,0.030697,0.10575,0.050509,0.038475,0.04174
388.28,0.033546,0.11755,0.050379,0.044635,0.044209
388.31,0.031218,0.10626,0.04779,0.041123,0.038934
388.33,0.037365,0.13706,0.054695,0.045959,0.044826
388.36,0.031803,0.10917,0.051329,0.038303,0.040674
388.39,0.035272,0.13107,0.047401,0.044059,0.043031
388.42,0.027635,0.095827,0.048523,0.034561,0.037644
388.45,0.03385,0.11379,0.047315,0.041123,0.04073
388.48,0.031798,0.1114,0.057846,0.040548,0.043143
388.51,0.035312,0.11909,0.052019,0.04521,0.04376
388.54,0.031643,0.11636,0.051372,0.038763,0.040786
388.56,0.038322,0.13466,0.054609,0.049586,0.050887
388.59,0.03049,0.10524,0.050466,0.036979,0.039608
388.62,0.036448,0.13244,0.054436,0.046707,0.04881
388.65,0.032807,0.10592,0.053659,0.042332,0.040337
388.68,0.035914,0.11516,0.053962,0.042793,0.046173
388.71,0.035112,0.1256,0.059616,0.045095,0.046846
388.74,0.034779,0.1167,0.054177,0.044002,0.043423
388.76,0.030427,0.10335,0.047099,0.039166,0.037924
388.79,0.034911,0.12388,0.054566,0.043541,0.043255
388.82,0.033598,0.11619,0.058968,0.043541,0.046173
388.85,0.044721,0.16186,0.069111,0.058048,0.057396
388.88,0.032939,0.1208,0.055343,0.04026,0.044433
388.91,0.071847,0.24416,0.12578,0.092184,0.09589
388.94,0.033231,0.11208,0.05176,0.04072,0.045051
388.97,0.03627,0.11807,0.054048,0.043484,0.046959
388.99,0.030072,0.10814,0.053487,0.044865,0.040562
389.02,0.041533,0.15571,0.063025,0.052867,0.050887
389.05,0.034297,0.12867,0.055688,0.046477,0.044097
389.08,0.036121,0.11875,0.055947,0.044808,0.047183
389.11,0.031643,0.11293,0.053142,0.040317,0.04174
389.14,0.036855,0.12406,0.050768,0.047916,0.048305
389.17,0.030605,0.11225,0.049171,0.040663,0.03899
389.19,0.036665,0.12816,0.055602,0.044692,0.045556
389.22,0.031821,0.09959,0.046667,0.039972,0.040618
389.25,0.063178,0.22842,0.10886,0.080556,0.087024
389.28,0.032457,0.12542,0.051242,0.041411,0.04073
389.31,0.036493,0.13398,0.050163,0.048837,0.045275
389.34,0.033323,0.12542,0.051847,0.042908,0.044153
389.37,0.036597,0.11841,0.053573,0.04688,0.045051
389.4,0.030869,0.11088,0.049559,0.039281,0.041796
389.43,0.034928,0.1285,0.050595,0.04665,0.044546
389.45,0.032285,0.1102,0.048178,0.038072,0.040113
389.48,0.041189,0.14287,0.063155,0.054421,0.054141
389.51,0.031207,0.10113,0.047099,0.042275,0.042694
389.54,0.035089,0.11653,0.052365,0.044002,0.045107
389.57,0.031253,0.10609,0.045027,0.039511,0.040281
389.6,0.037371,0.12542,0.056422,0.047053,0.047071
389.63,0.0299,0.10917,0.053357,0.04049,0.04174
389.65,0.036734,0.12046,0.051717,0.044462,0.043648
389.68,0.030186,0.10866,0.047272,0.038993,0.036634
389.71,0.035857,0.11961,0.057587,0.044232,0.046454
389.74,0.031557,0.10455,0.0493,0.041411,0.042694
389.77,0.036528,0.12046,0.050552,0.043196,0.048754
389.8,0.030347,0.11003,0.046365,0.040145,0.042862
389.83,0.03467,0.12594,0.051372,0.040375,0.041179
389.85,0.03045,0.10507,0.049387,0.040951,0.041235
389.88,0.041407,0.14955,0.063543,0.053903,0.049484
389.91,0.02959,0.10968,0.047229,0.042505,0.038598
389.94,0.035375,0.1232,0.05517,0.043484,0.043816
389.97,0.031866,0.10318,0.048955,0.043023,0.041179
390,0.036333,0.12388,0.054695,0.046765,0.045724
390.03,0.031098,0.11601,0.050207,0.039569,0.043087
390.06,0.035244,0.12234,0.049905,0.043196,0.043928
390.08,0.030553,0.090523,0.045416,0.039742,0.036465
390.11,0.037113,0.12354,0.052926,0.045729,0.045219
390.14,0.032004,0.11516,0.051199,0.042217,0.043367
390.17,0.034836,0.11499,0.051804,0.047686,0.045836
390.2,0.032405,0.11328,0.048739,0.03813,0.044714
390.23,0.036729,0.12645,0.051847,0.04665,0.047351
390.25,0.02947,0.10233,0.046797,0.040893,0.041179
390.28,0.03764,0.11858,0.056983,0.047859,0.047913
390.31,0.030513,0.11003,0.050638,0.039454,0.039944
390.34,0.035742,0.11636,0.049343,0.043656,0.044546
390.37,0.03002,0.11054,0.047531,0.040433,0.041123
390.4,0.035886,0.11807,0.050293,0.044808,0.045444
390.43,0.032038,0.11927,0.057026,0.041238,0.046117
390.45,0.035066,0.12217,0.051501,0.045095,0.044714
390.48,0.031941,0.11345,0.051717,0.039627,0.040393
390.51,0.035777,0.11909,0.052278,0.045613,0.047351
390.54,0.029349,0.10541,0.047703,0.036748,0.040842
390.57,0.037176,0.12166,0.053314,0.045671,0.048698
390.6,0.053637,0.20121,0.095784,0.074281,0.075296
390.63,0.037801,0.13141,0.054393,0.047859,0.048979
390.65,0.032159,0.10934,0.052839,0.040835,0.039664
390.68,0.035318,0.12748,0.051933,0.045383,0.046173
390.71,0.032503,0.099933,0.048092,0.042332,0.040337
390.74,0.035857,0.11721,0.051458,0.044692,0.043087
390.77,0.031442,0.10318,0.048308,0.039281,0.037251
390.8,0.038403,0.13004,0.055645,0.049931,0.04853
390.83,0.031259,0.098735,0.048264,0.042217,0.040449
390.86,0.037136,0.12919,0.05258,0.048492,0.0455
390.88,0.031654,0.11003,0.047185,0.039569,0.039103
390.91,0.038208,0.14202,0.059745,0.049067,0.050101
390.94,0.031517,0.10832,0.049084,0.041123,0.037812
390.97,0.036149,0.13056,0.050681,0.047053,0.045892
391,0.030066,0.10233,0.046797,0.038475,0.041347
391.03,0.034768,0.12252,0.047531,0.04665,0.044882
391.06,0.031712,0.10678,0.047617,0.038878,0.041852
391.08,0.036574,0.12885,0.051329,0.047225,0.044995
391.11,0.031024,0.10472,0.045675,0.038648,0.038598
391.14,0.040668,0.14989,0.062982,0.050967,0.052289
391.17,0.032967,0.1155,0.049602,0.038936,0.047295
391.2,0.036086,0.12816,0.048005,0.041469,0.046566
391.23,0.032256,0.11242,0.04943,0.044865,0.041964
391.25,0.035358,0.12679,0.051286,0.044232,0.046622
391.28,0.029068,0.10626,0.046193,0.039914,0.04
391.31,0.038128,0.11567,0.052192,0.04878,0.047295
391.34,0.030542,0.11242,0.048308,0.041066,0.041067
391.37,0.035754,0.11961,0.052883,0.044923,0.042694
391.4,0.03256,0.10592,0.046495,0.04072,0.041796
391.43,0.038701,0.12885,0.05517,0.045671,0.044658
391.45,0.030244,0.11927,0.044855,0.040317,0.040337
391.48,0.03705,0.12337,0.051976,0.045671,0.046061
391.51,0.030788,0.10575,0.045632,0.043368,0.039159
391.54,0.034773,0.11533,0.047962,0.046765,0.04275
391.57,0.029189,0.10524,0.04861,0.038533,0.037868
391.6,0.036597,0.11174,0.049818,0.045326,0.043367
391.63,0.03662,0.12953,0.059788,0.046822,0.04881
391.65,0.036694,0.13415,0.051847,0.044289,0.043985
391.68,0.032262,0.1167,0.051631,0.04026,0.041628
391.71,0.035479,0.11191,0.050422,0.043599,0.048754
391.74,0.035674,0.11721,0.05845,0.05091,0.04881
391.77,0.037009,0.11927,0.051329,0.043944,0.045107
391.8,0.031671,0.10524,0.048049,0.041296,0.043255
391.82,0.03721,0.13415,0.052624,0.048952,0.049372
391.85,0.030628,0.10814,0.049861,0.037497,0.038485
391.88,0.036224,0.12098,0.049041,0.046362,0.047239
391.91,0.031597,0.109,0.046408,0.040087,0.040898
391.94,0.034693,0.11293,0.049602,0.042217,0.044041
391.97,0.03514,0.12748,0.057069,0.048837,0.047856
392,0.034555,0.1114,0.05189,0.041699,0.041179
392.02,0.031385,0.11533,0.048049,0.042678,0.040842
392.05,0.034057,0.1179,0.049905,0.041526,0.041179
392.08,0.036706,0.14014,0.059529,0.047974,0.048249
392.11,0.03713,0.12234,0.05094,0.044174,0.048361
392.14,0.029326,0.098222,0.044294,0.03646,0.0377
392.17,0.035014,0.11875,0.048739,0.04475,0.044153
392.19,0.030548,0.11482,0.0452,0.038303,0.042413
392.22,0.033999,0.12491,0.048782,0.041411,0.046061
392.25,0.030164,0.1037,0.047272,0.039857,0.036465
392.28,0.036866,0.11807,0.050854,0.047513,0.046285
392.31,0.029166,0.1037,0.0452,0.038533,0.038878
392.34,0.035341,0.1167,0.046624,0.043599,0.045163
392.37,0.02795,0.10678,0.042395,0.039627,0.040393
392.39,0.0317,0.11054,0.045071,0.043599,0.04174
392.42,0.032858,0.11362,0.047833,0.042217,0.041964
392.45,0.035347,0.12388,0.05025,0.042332,0.045107
392.48,0.035467,0.12662,0.057285,0.046592,0.051167
392.51,0.033959,0.122,0.050077,0.042447,0.042357
392.54,0.030525,0.11499,0.050293,0.041411,0.037644
392.56,0.036579,0.1179,0.048653,0.046937,0.042918
392.59,0.032004,0.11276,0.047272,0.04239,0.037531
392.62,0.03561,0.11892,0.051286,0.04452,0.044939
392.65,0.030983,0.10934,0.047876,0.039914,0.039664
392.68,0.03455,0.11311,0.051242,0.04285,0.041572
392.71,0.02924,0.10763,0.044035,0.040548,0.0377
392.73,0.03631,0.12799,0.050422,0.046707,0.045331
392.76,0.030364,0.10643,0.045891,0.041296,0.03972
392.79,0.035112,0.11636,0.050207,0.047053,0.041347
392.82,0.029865,0.109,0.046193,0.038418,0.038822
392.85,0.03666,0.13432,0.053746,0.045556,0.044826
392.88,0.032698,0.122,0.05107,0.038706,0.041011
392.9,0.0367,0.12525,0.05353,0.046592,0.043704
392.93,0.030284,0.1001,0.047833,0.037727,0.038261
392.96,0.034515,0.11584,0.04861,0.046304,0.044041
392.99,0.029481,0.097024,0.045977,0.040317,0.040337
393.02,0.034991,0.12132,0.050509,0.040605,0.042582
393.05,0.031144,0.10592,0.044768,0.038533,0.037419
393.07,0.035622,0.11653,0.050725,0.04711,0.042975
393.1,0.037164,0.12919,0.058623,0.047743,0.044995
393.13,0.034601,0.11499,0.049948,0.044059,0.040898
393.16,0.032887,0.11105,0.049387,0.039684,0.043592
393.19,0.036493,0.12662,0.044768,0.044405,0.04348
393.22,0.030158,0.10524,0.045157,0.038706,0.03972
393.25,0.033678,0.11807,0.04697,0.041641,0.043536
393.27,0.030932,0.10318,0.045718,0.037727,0.040842
393.3,0.035588,0.12371,0.048221,0.04475,0.046117
393.33,0.030639,0.1114,0.044941,0.036863,0.039888
393.36,0.036109,0.11875,0.051804,0.046477,0.043816
393.39,0.029556,0.1037,0.045632,0.035712,0.036746
393.42,0.034922,0.11841,0.049473,0.043771,0.042582
393.44,0.032262,0.11499,0.048135,0.041526,0.041628
393.47,0.036837,0.12833,0.051242,0.044865,0.047408
393.5,0.029332,0.10404,0.046495,0.041469,0.037251
393.53,0.033294,0.11636,0.050034,0.041181,0.04449
393.56,0.02959,0.109,0.047833,0.041066,0.039888
393.58,0.042141,0.14869,0.063198,0.050737,0.056554
393.61,0.031534,0.10917,0.045761,0.040087,0.041179
393.64,0.036534,0.12132,0.05107,0.045095,0.044826
393.67,0.028615,0.10113,0.04274,0.039166,0.036802
393.7,0.035983,0.12919,0.051588,0.046247,0.0455
393.73,0.031671,0.11413,0.042351,0.036921,0.036746
393.75,0.03768,0.12217,0.051674,0.046822,0.0478
393.78,0.028759,0.094629,0.04602,0.040893,0.036409
393.81,0.03971,0.15023,0.056897,0.050391,0.050213
393.84,0.031305,0.1167,0.045675,0.039857,0.039439
393.87,0.034693,0.1167,0.046322,0.042793,0.045949
393.9,0.031792,0.11122,0.04779,0.041296,0.042245
393.92,0.036132,0.12885,0.046365,0.049528,0.046454
393.95,0.029487,0.10472,0.045416,0.03813,0.036858
393.98,0.033919,0.11704,0.048782,0.042217,0.044826
394.01,0.031643,0.10609,0.043042,0.039396,0.039664
394.04,0.036637,0.11738,0.051027,0.045671,0.04679
394.07,0.031213,0.10592,0.047229,0.039799,0.041347
394.09,0.034338,0.11653,0.046236,0.044808,0.042862
394.12,0.032199,0.11653,0.050681,0.041066,0.040898
394.15,0.041287,0.15211,0.058925,0.049931,0.048979
394.18,0.031689,0.10986,0.044294,0.038878,0.038598
394.21,0.036402,0.12457,0.049041,0.045613,0.04679
394.24,0.028633,0.10181,0.042912,0.041354,0.036634
394.26,0.033862,0.1179,0.049646,0.043944,0.042301
394.29,0.029986,0.10181,0.044682,0.040548,0.038036
394.32,0.033661,0.1102,0.050854,0.041584,0.041684
394.35,0.029751,0.097024,0.04261,0.038648,0.039159
394.38,0.034538,0.11567,0.04861,0.043311,0.03871
394.4,0.031654,0.1114,0.043344,0.039166,0.035904
394.43,0.03389,0.12046,0.047229,0.045095,0.041628
394.46,0.030806,0.11858,0.043776,0.040548,0.041347
394.49,0.04104,0.1516,0.057069,0.05114,0.051167
394.52,0.03072,0.10763,0.046452,0.038878,0.042413
394.55,0.036746,0.12217,0.04943,0.044289,0.048081
394.57,0.031253,0.11482,0.046106,0.04285,0.03972
394.6,0.033632,0.10729,0.050077,0.042908,0.041291
394.63,0.036258,0.12594,0.05517,0.048434,0.047632
394.66,0.034286,0.11619,0.048308,0.042275,0.042469
394.69,0.030209,0.10643,0.044596,0.038878,0.039047
394.71,0.035576,0.12525,0.049689,0.042793,0.043367
394.74,0.029808,0.10917,0.041661,0.037842,0.043592
394.77,0.036637,0.12508,0.050854,0.046592,0.047015
394.8,0.030118,0.10507,0.043517,0.038475,0.038036
394.83,0.036797,0.12046,0.051242,0.049067,0.047632
394.86,0.032704,0.10455,0.048092,0.04285,0.042975
394.88,0.037164,0.11944,0.050293,0.04452,0.047127
394.91,0.033896,0.11396,0.051199,0.042447,0.045892
394.94,0.03408,0.11738,0.044596,0.046592,0.04376
394.97,0.031132,0.10797,0.04438,0.038533,0.039608
395,0.035794,0.11738,0.05353,0.045671,0.043648
395.03,0.030267,0.10507,0.042438,0.040951,0.037756
395.05,0.036092,0.12217,0.051458,0.048434,0.044546
395.08,0.030972,0.099933,0.045286,0.039454,0.039103
395.11,0.036109,0.12183,0.048825,0.044059,0.046117
395.14,0.032004,0.11225,0.043819,0.039224,0.040618
395.17,0.035106,0.11465,0.049646,0.040087,0.042975
395.19,0.03033,0.10814,0.048308,0.038763,0.039608
395.22,0.036127,0.12371,0.048567,0.045326,0.046341
395.25,0.031236,0.10797,0.042912,0.040605,0.041403
395.28,0.040364,0.14459,0.059659,0.052924,0.052907
395.31,0.03283,0.11841,0.049905,0.042793,0.045444
395.34,0.033185,0.10353,0.044553,0.042793,0.044995
395.36,0.032589,0.12252,0.055041,0.040433,0.041852
395.39,0.036029,0.11773,0.051027,0.043253,0.044433
395.42,0.031849,0.10729,0.043085,0.043656,0.042021
395.45,0.034573,0.11276,0.050379,0.045383,0.043872
395.48,0.030966,0.10626,0.047013,0.039857,0.038261
395.5,0.035547,0.12132,0.047833,0.044462,0.044882
395.53,0.030152,0.10455,0.042999,0.037554,0.040674
395.56,0.036127,0.12457,0.050854,0.043541,0.043985
395.59,0.03248,0.10678,0.045761,0.040835,0.03972
395.62,0.035479,0.12679,0.047444,0.045441,0.045892
395.64,0.037428,0.1309,0.056594,0.050391,0.052458
395.67,0.034745,0.11636,0.048049,0.045441,0.043648
395.7,0.03307,0.11345,0.051286,0.041296,0.042021
395.73,0.034538,0.12098,0.045632,0.044174,0.041347
395.76,0.030708,0.1025,0.044639,0.039684,0.040618
395.79,0.037164,0.13056,0.046365,0.043541,0.048305
395.81,0.031929,0.10626,0.04684,0.042908,0.039832
395.84,0.036006,0.12012,0.046581,0.045556,0.044658
395.87,0.032784,0.11362,0.046495,0.045153,0.04275
395.9,0.037147,0.13346,0.048523,0.047859,0.045051
395.93,0.030685,0.11054,0.048523,0.041296,0.040057
395.95,0.035748,0.1244,0.048653,0.047398,0.044546
395.98,0.03131,0.097195,0.044035,0.038706,0.040113
396.01,0.036058,0.12132,0.052278,0.046132,0.042189
396.04,0.034963,0.11482,0.052451,0.046074,0.047408
396.07,0.034831,0.1167,0.049775,0.043484,0.042077
396.1,0.03088,0.10951,0.048437,0.041814,0.036353
396.12,0.034481,0.11755,0.047962,0.040951,0.042582
396.15,0.029332,0.10216,0.044984,0.038303,0.03798
396.18,0.033592,0.11841,0.047574,0.044289,0.042638
396.21,0.030364,0.10267,0.043733,0.038245,0.040505
396.24,0.035949,0.1244,0.047056,0.04262,0.048754
396.26,0.034252,0.11909,0.05353,0.046419,0.045836
396.29,0.035949,0.12474,0.049387,0.046132,0.04376
396.32,0.030175,0.10113,0.04343,0.040375,0.039776
396.35,0.03506,0.12098,0.04848,0.043138,0.046005
396.38,0.030232,0.11465,0.048092,0.041066,0.040393
396.4,0.035117,0.12132,0.047099,0.04262,0.048137
396.43,0.036006,0.1285,0.053746,0.046937,0.050774
396.46,0.034211,0.11567,0.046452,0.042102,0.044546
396.49,0.029739,0.10507,0.042049,0.038303,0.038878
396.52,0.036505,0.12799,0.05094,0.044865,0.044602
396.55,0.031115,0.10832,0.044812,0.038648,0.038598
396.57,0.033128,0.11396,0.044855,0.041814,0.042301
396.6,0.029028,0.10079,0.045459,0.041584,0.035567
396.63,0.035456,0.13107,0.047746,0.043368,0.043536
396.66,0.033403,0.122,0.051501,0.042505,0.04449
396.69,0.038638,0.13535,0.060263,0.053097,0.047744
396.71,0.031075,0.10814,0.04179,0.0379,0.038934
396.74,0.035679,0.12337,0.048567,0.043886,0.046678
396.77,0.031889,0.1078,0.048437,0.036806,0.040449
396.8,0.037073,0.13432,0.056681,0.050564,0.052402
396.82,0.03115,0.10507,0.043991,0.042965,0.042133
396.85,0.040702,0.13877,0.05927,0.05114,0.051055
396.88,0.029068,0.10558,0.043819,0.039281,0.03899
396.91,0.035645,0.12457,0.047142,0.046765,0.044209
396.94,0.029951,0.1001,0.043387,0.040317,0.039832
396.97,0.039756,0.13381,0.059486,0.052867,0.049764
396.99,0.031259,0.10917,0.046408,0.038533,0.039159
397.02,0.037548,0.13056,0.050768,0.045613,0.049203
397.05,0.032142,0.10353,0.043474,0.040951,0.043255
397.08,0.034166,0.11345,0.046754,0.043714,0.042189
397.11,0.031746,0.11396,0.047142,0.038245,0.041796
397.13,0.035261,0.1208,0.047488,0.045441,0.044658
397.16,0.028937,0.1013,0.041229,0.038072,0.039495
397.19,0.0358,0.12611,0.048005,0.043886,0.044939
397.22,0.03029,0.11088,0.042481,0.040317,0.037419
397.25,0.034435,0.1167,0.052883,0.042562,0.046566
397.27,0.031069,0.10575,0.044855,0.040375,0.037756
397.3,0.033925,0.11345,0.050077,0.04452,0.045724
397.33,0.030358,0.10387,0.045027,0.039511,0.039271
397.36,0.036797,0.12406,0.052019,0.047513,0.045724
397.39,0.035513,0.11773,0.057458,0.046304,0.046902
397.41,0.035909,0.11567,0.049387,0.04521,0.047688
397.44,0.031677,0.1078,0.051415,0.044059,0.044041
397.47,0.036465,0.11978,0.048955,0.048261,0.044265
397.5,0.031838,0.11516,0.044509,0.041757,0.039215
397.53,0.03459,0.12166,0.047056,0.041641,0.043367
